Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Price,PER,ROE,PER_Rank,ROE_Rank,Magic_Score
002900,KR7002900009,TYM,KOSPI,,7180,1,260,3.76,6920,7220,6820,140927,1002590615,297252000000,41400000,STK,7150,4.14,6.85,168.0,747.5,915.5
471820,KR7471820001,셀로맥스사이언스,KOSDAQ,벤처기업부,4055,2,-20,-0.49,4080,4080,3925,1754,7001740,45833174345,11302879,KSQ,4050,15.28,49.59,877.5,38.5,916.0
069730,KR7069730000,DSR제강,KOSPI,,5640,3,0,0.0,5610,5720,5580,11079,62885540,81216000000,14400000,STK,5530,2.38,4.55,50.5,865.5,916.0
475430,KR7475430005,키스트론,KOSDAQ,중견기업부,4120,2,-5,-0.12,4125,4185,4095,34626,142743710,73534213200,17848110,KSQ,4050,5.21,8.43,254.5,661.5,916.0
023810,KR7023810005,인팩,KOSPI,,5100,2,-30,-0.58,5130,5130,5060,7107,36087640,51000000000,10000000,STK,5130,9.16,18.47,585.0,332.0,917.0
102120,KR7102120003,어보브반도체,KOSDAQ,벤처기업부,6920,2,-50,-0.72,7000,7070,6850,31825,220617120,123042810760,17780753,KSQ,6820,12.65,33.24,787.0,130.0,917.0
005670,KR7005670005,푸드웰,KOSDAQ,우량기업부,6350,2,-40,-0.63,6410,6480,6150,15020,95484350,63500000000,10000000,KSQ,6340,4.73,6.94,212.5,706.5,919.0
013990,KR7013990007,아가방컴퍼니,KOSDAQ,우량기업부,4670,1,60,1.3,4700,4720,4580,8980,41877197,153584793120,32887536,KSQ,4690,7.46,14.5,469.5,450.0,919.5
024880,KR7024880007,케이피에프,KOSDAQ,우량기업부,3805,1,45,1.2,3760,3830,3735,7439,28106935,75877879320,19941624,KSQ,3805,4.25,6.85,177.5,747.5,925.0
000910,KR7000910000,유니온,KOSPI,,2950,1,20,0.68,2930,2970,2930,5731,16872255,46054276050,15611619,STK,2937,0.76,3.29,6.0,920.0,926.0
036890,KR7036890002,진성티이씨,KOSDAQ,우량기업부,13050,1,450,3.57,12780,13250,12610,20185,262691825,287525730150,22032623,KSQ,13010,4.26,6.85,179.0,747.5,926.5
066670,KR7066670001,디티씨,KOSDAQ,중견기업부,3175,2,-125,-3.79,3275,3295,3170,4776,15282565,59346839650,18691918,KSQ,3205,11.01,28.29,712.0,214.5,926.5
123330,KR7123330003,제닉,KOSDAQ,우량기업부,35350,1,550,1.58,34700,36300,34450,68630,2431761850,281692838000,7968680,KSQ,33300,10.18,20.19,654.0,272.5,926.5
094280,KR7094280005,효성ITX,KOSPI,,12060,3,0,0.0,12160,12160,11770,7329,87802690,139391892000,11558200,STK,12020,10.47,21.72,681.0,248.0,929.0
021050,KR7021050000,서원,KOSPI,,1120,1,5,0.45,1117,1130,1116,42009,47122965,53171540800,47474590,STK,1114,5.8,8.93,305.0,629.0,934.0
019550,KR7019550003,SBI인베스트먼트,KOSDAQ,중견기업부,1019,1,7,0.69,1013,1025,1006,107077,108416870,82572919453,81033287,KSQ,1011,6.13,9.39,333.5,602.0,935.5
190650,KR7190650002,코리아에셋투자증권,KOSDAQ,우량기업부,6820,1,30,0.44,6810,6830,6790,721,4911550,43566160000,6388000,KSQ,6740,7.34,14.48,459.0,478.0,937.0
025820,KR7025820002,이구산업,KOSPI,,4260,3,0,0.0,4295,4400,4215,37662,160934500,142462920000,33442000,STK,4255,5.83,8.93,308.5,629.0,937.5
189690,KR7189690001,포시에스,KOSDAQ,벤처기업부,1532,2,-5,-0.33,1536,1536,1527,1305,1998181,41857256508,27321969,KSQ,1523,6.45,11.45,366.5,572.0,938.5
005740,KR7005740006,크라운해태홀딩스,KOSPI,,5650,3,0,0.0,5650,5670,5570,5203,29167095,83887510550,14847347,STK,5620,4.98,6.94,233.0,706.5,939.5
482630,KR7482630001,삼양엔씨켐,KOSDAQ,중견기업부,12290,2,-310,-2.46,13300,13310,12230,55374,700368355,269006961200,21888280,KSQ,12300,13.18,33.24,809.5,130.0,939.5
001230,KR7001230002,동국홀딩스,KOSPI,,2040,1,53,2.67,2000,2070,1987,169740,345325101,317235738600,155507715,STK,2020,2.81,4.55,74.0,865.5,939.5
067280,KR7067280008,멀티캠퍼스,KOSDAQ,우량기업부,23650,1,50,0.21,23600,23700,23350,1277,30122350,140168323350,5926779,KSQ,23550,6.09,8.96,329.0,615.0,944.0
061250,KR7061250007,화일약품,KOSDAQ,우량기업부,8890,1,120,1.37,8880,8970,8830,3922,35001510,74832321760,8417584,KSQ,9190,16.32,49.59,908.0,38.5,946.5
048430,KR7048430003,유라테크,KOSDAQ,우량기업부,5960,2,-30,-0.5,6000,6000,5900,1538,9135930,68659200000,11520000,KSQ,6280,9.57,18.47,615.0,332.0,947.0
383220,KR7383220001,F&F,KOSPI,,66600,2,-1100,-1.62,67300,67900,65300,21954,1471591450,2551251195000,38307075,STK,66100,4.84,6.93,221.0,727.5,948.5
016380,KR7016380008,KG스틸,KOSPI,,5610,1,170,3.13,5480,5640,5460,93844,523243440,561049912170,100008897,STK,5600,3.02,4.55,84.0,865.5,949.5
067310,KR7067310003,하나마이크론,KOSDAQ,중견기업부,34750,2,-600,-1.7,36000,36100,34100,307950,10766617825,2310557697750,66490869,KSQ,34600,13.42,33.24,819.5,130.0,949.5
151860,KR7151860004,KG에코솔루션,KOSDAQ,우량기업부,5600,1,190,3.51,5490,5690,5400,65727,366536785,266576811200,47603002,KSQ,5650,2.12,3.76,41.0,909.0,950.0
216050,KR7216050005,인크로스,KOSDAQ,중견기업부,5080,2,-130,-2.5,5160,5190,5040,9753,49672750,61968999760,12198622,KSQ,5060,5.4,7.46,269.0,681.0,950.0
015230,KR7015230006,대창단조,KOSPI,,6190,1,60,0.98,6080,6310,6080,9820,60766230,168019007800,27143620,STK,6460,4.64,6.85,204.5,747.5,952.0
005930,KR7005930003,삼성전자,KOSPI,,252750,1,2250,0.9,254000,255000,251000,4179361,1058200015500,1477646918172000,5846278608,STK,250250,11.23,26.37,726.0,227.5,953.5
033920,KR7033920000,무학,KOSPI,,7800,1,20,0.26,7790,7870,7750,4102,32083740,222300000000,28500000,STK,7730,6.57,11.18,377.0,577.0,954.0
083450,KR7083450007,GST,KOSDAQ,우량기업부,42400,2,-2050,-4.61,44450,44450,42200,48435,2073579300,781432000000,18430000,KSQ,41250,13.66,33.24,825.5,130.0,955.5
900140,KYG5307W1015,엘브이엠씨홀딩스,KOSPI,,1204,1,7,0.58,1201,1206,1191,108884,130566891,232661480128,193240432,STK,1196,10.77,21.02,698.5,257.0,955.5
074600,KR7074600008,원익QnC,KOSDAQ,우량기업부,25500,1,100,0.39,25900,25950,25100,57617,1466428300,670344000000,26288000,KSQ,25200,13.7,33.24,827.0,130.0,957.0
061090,KR7061090007,세나테크놀로지,KOSDAQ,벤처기업부,38700,3,0,0.0,39000,39150,38050,5506,211639000,211594185000,5467550,KSQ,38600,8.91,16.58,566.0,391.0,957.0
137950,KR7137950002,제이씨케미칼,KOSDAQ,우량기업부,3840,1,115,3.09,3695,3845,3640,44855,169021988,85508405760,22267814,KSQ,3815,12.07,29.45,760.0,198.0,958.0
001470,KR7001470004,삼부토건,KOSPI,,5820,0,0,0.0,0,0,0,0,0,227794235460,39139903,STK,5820,0.01,2.8,1.0,958.0,959.0
068930,KR7068930007,디지털대성,KOSDAQ,우량기업부,8660,1,60,0.7,8600,8680,8590,4556,39314690,239668461720,27675342,KSQ,8660,6.56,10.3,375.5,583.5,959.0
271980,KR7271980005,제일약품,KOSPI,,10860,2,-30,-0.28,10960,11070,10630,34714,375134870,159694909920,14704872,STK,10660,16.81,49.59,921.0,38.5,959.5
001500,KR7001500008,현대차증권,KOSPI,,7870,1,30,0.38,7930,7960,7780,25513,200758800,486626056280,61833044,STK,7860,7.59,14.48,482.5,478.0,960.5
063570,KR7063570006,NICE인프라,KOSDAQ,우량기업부,3435,2,-15,-0.43,3430,3450,3415,1356,4651895,117297445680,34147728,KSQ,3460,11.02,21.72,713.0,248.0,961.0
487580,KR7487580003,폴레드,KOSDAQ,벤처기업부,3130,2,-5,-0.16,3175,3185,3105,24489,76831700,78822354930,25182861,KSQ,3065,6.87,12.33,403.5,557.5,961.0
000590,KR7000590000,CS홀딩스,KOSPI,,66700,1,300,0.45,67200,67400,66300,42,2802900,77003949400,1154482,STK,66300,3.26,4.55,96.5,865.5,962.0
353810,KR7353810005,이지바이오,KOSDAQ,우량기업부,6400,2,-40,-0.62,6440,6540,6400,21666,140182590,211724288000,33081920,KSQ,6300,5.23,6.94,256.0,706.5,962.5
109080,KR7109080002,옵티시스,KOSDAQ,벤처기업부,8230,2,-110,-1.32,8370,8370,8190,559,4601100,46384280000,5636000,KSQ,8170,9.0,16.58,571.5,391.0,962.5
049960,KR7049960008,쎌바이오텍,KOSDAQ,벤처기업부,15730,2,-50,-0.32,15780,15920,15600,549,8669960,147862000000,9400000,KSQ,15700,8.79,16.5,560.5,404.0,964.5
020710,KR7020710000,시공테크,KOSDAQ,우량기업부,3655,1,25,0.69,3630,3660,3615,8643,31525171,73275330350,20047970,KSQ,3615,2.53,3.77,62.5,903.0,965.5
012320,KR7012320008,경동인베스트,KOSPI,,46950,1,450,0.97,47850,47850,46300,917,42805850,111037829850,2365023,STK,46750,6.16,8.93,336.5,629.0,965.5
067830,KR7067830000,세이브존I&C,KOSPI,,2380,1,15,0.63,2400,2400,2350,11440,27078050,97677330100,41040895,STK,2380,2.72,3.96,70.5,896.0,966.5
033160,KR7033160003,엠케이전자,KOSDAQ,중견기업부,13730,2,-700,-4.85,14560,14650,13520,463835,6427899595,337264516340,24564058,KSQ,13390,14.18,33.24,840.0,130.0,970.0
018670,KR7018670000,SK가스,KOSPI,,238000,1,8000,3.48,230000,241500,228000,5924,1411123250,2206080072000,9269244,STK,234500,7.03,12.47,421.0,551.5,972.5
451250,KR7451250005,삐아,KOSDAQ,벤처기업부,7580,2,-20,-0.26,7640,7640,7560,2627,19970830,77512147660,10225877,KSQ,7470,10.89,20.19,703.0,272.5,975.5
136540,KR7136540002,윈스테크넷,KOSDAQ,우량기업부,10750,1,10,0.09,10650,10750,10570,10589,113037490,132007269500,12279746,KSQ,10690,7.15,12.6,436.5,540.0,976.5
013580,KR7013580006,계룡건설,KOSPI,,21500,1,250,1.18,21250,22250,20850,32016,693792700,192014500500,8930907,STK,21800,1.56,2.8,20.5,958.0,978.5
035000,KR7035000009,HS애드,KOSPI,,6520,1,30,0.46,6520,6530,6450,9607,62507690,105673838880,16207644,STK,6510,5.75,7.46,299.0,681.0,980.0
041650,KR7041650003,상신브레이크,KOSPI,,2225,3,0,0.0,2225,2225,2205,2261,5001765,47773976250,21471450,STK,2210,10.14,18.47,651.0,332.0,983.0
